-1 0
-0.99 0.0782786
-0.98 0.153162
-0.97 0.224722
-0.96 0.293028
-0.95 0.35815
-0.94 0.420157
-0.93 0.479119
-0.92 0.535101
-0.91 0.588173
-0.9 0.6384
-0.89 0.685848
-0.88 0.730583
-0.87 0.772669
-0.86 0.81217
-0.85 0.84915
-0.84 0.883671
-0.83 0.915795
-0.82 0.945585
-0.81 0.973099
-0.8 0.9984
-0.79 1.02155
-0.78 1.0426
-0.77 1.06161
-0.76 1.07864
-0.75 1.09375
-0.74 1.10699
-0.73 1.11842
-0.72 1.1281
-0.71 1.13607
-0.7 1.1424
-0.69 1.14713
-0.68 1.15032
-0.67 1.15202
-0.66 1.15228
-0.65 1.15115
-0.64 1.14868
-0.63 1.14493
-0.62 1.13993
-0.61 1.13374
-0.6 1.1264
-0.59 1.11797
-0.58 1.10848
-0.57 1.09798
-0.56 1.08653
-0.55 1.07415
-0.54 1.0609
-0.53 1.04682
-0.52 1.03195
-0.51 1.01633
-0.5 1
-0.49 0.983007
-0.48 0.965386
-0.47 0.947178
-0.46 0.92842
-0.45 0.90915
-0.44 0.889405
-0.43 0.869223
-0.42 0.848637
-0.41 0.827685
-0.4 0.8064
-0.39 0.784816
-0.38 0.762967
-0.37 0.740885
-0.36 0.718602
-0.35 0.69615
-0.34 0.673559
-0.33 0.650859
-0.32 0.628081
-0.31 0.605251
-0.3 0.5824
-0.29 0.559554
-0.28 0.53674
-0.27 0.513984
-0.26 0.491313
-0.25 0.46875
-0.24 0.446321
-0.23 0.424048
-0.22 0.401956
-0.21 0.380066
-0.2 0.3584
-0.19 0.336979
-0.18 0.315825
-0.17 0.294955
-0.16 0.274391
-0.15 0.25415
-0.14 0.23425
-0.13 0.214709
-0.12 0.195543
-0.11 0.176768
-0.1 0.1584
-0.09 0.140453
-0.08 0.122941
-0.07 0.105879
-0.06 0.0892774
-0.05 0.07315
-0.04 0.0575078
-0.03 0.0423618
-0.02 0.0277222
-0.01 0.0135986
7.5287e-16 -1.00383e-15
0.01 -0.0130654
0.02 -0.0255898
0.03 -0.0375662
0.04 -0.0489882
0.05 -0.05985
0.06 -0.0701466
0.07 -0.0798734
0.08 -0.0890266
0.09 -0.097603
0.1 -0.1056
0.11 -0.113016
0.12 -0.119849
0.13 -0.126099
0.14 -0.131766
0.15 -0.13685
0.16 -0.141353
0.17 -0.145277
0.18 -0.148623
0.19 -0.151397
0.2 -0.1536
0.21 -0.155238
0.22 -0.156316
0.23 -0.15684
0.24 -0.156815
0.25 -0.15625
0.26 -0.155151
0.27 -0.153528
0.28 -0.151388
0.29 -0.148742
0.3 -0.1456
0.31 -0.141973
0.32 -0.137871
0.33 -0.133309
0.34 -0.128297
0.35 -0.12285
0.36 -0.116982
0.37 -0.110707
0.38 -0.104041
0.39 -0.0969998
0.4 -0.0896
0.41 -0.081859
0.42 -0.0737946
0.43 -0.0654254
0.44 -0.0567706
0.45 -0.04785
0.46 -0.0386842
0.47 -0.0292942
0.48 -0.0197018
0.49 -0.00992936
0.5 9.99201e-16
0.51 0.0100626
0.52 0.0202342
0.53 0.0304898
0.54 0.0408038
0.55 0.05115
0.56 0.0615014
0.57 0.0718306
0.58 0.0821094
0.59 0.092309
0.6 0.1024
0.61 0.112352
0.62 0.122135
0.63 0.131717
0.64 0.141066
0.65 0.15015
0.66 0.158935
0.67 0.167387
0.68 0.175473
0.69 0.183155
0.7 0.1904
0.71 0.19717
0.72 0.203428
0.73 0.209136
0.74 0.214257
0.75 0.21875
0.76 0.222577
0.77 0.225696
0.78 0.228068
0.79 0.22965
0.8 0.2304
0.81 0.230275
0.82 0.229233
0.83 0.227227
0.84 0.224215
0.85 0.22015
0.86 0.214986
0.87 0.208677
0.88 0.201175
0.89 0.192432
0.9 0.1824
0.91 0.171029
0.92 0.158269
0.93 0.144071
0.94 0.128381
0.95 0.11115
0.96 0.0923238
0.97 0.0718498
0.98 0.0496742
0.99 0.0257426
